seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
107,3,19,0,0,0,0,0,0,0,0
0,3,20,0,0,0,0,0,0,0,0
147,3,20,0,0,0,0,0,0,0,0
107,3,20,clash_tap,0,1178,582,799,796,1534,0
107,3,20,0,0,0,0,0,0,0,0
53,3,21,0,0,0,0,0,0,0,0
53,3,21,match_this,562,166,451,227,877,736,0
15,3,21,0,0,0,0,0,0,0,0
0,3,21,0,0,0,0,0,0,0,0
53,3,22,0,0,0,0,0,0,0,0
0,3,22,0,0,0,0,0,0,0,0
0,3,22,0,0,0,0,0,0,0,0
15,3,22,clash_this,0,1341,173,437,939,1713,0
173,3,23,match_tap,1157,604,227,424,224,1910,0
0,3,23,0,0,0,0,0,0,0,0
0,3,23,0,0,0,0,0,0,0,0
43,3,23,0,0,0,0,0,0,0,0
0,3,24,0,0,0,0,0,0,0,0
173,3,24,0,0,0,0,0,0,0,0
43,3,24,clash_tap,1059,605,239,889,604,0,0
43,3,24,0,0,0,0,0,0,0,0
0,3,25,0,0,0,0,0,0,0,0
87,3,25,match_this,0,879,360,1174,869,1553,0
121,3,25,0,0,0,0,0,0,0,0
0,3,25,0,0,0,0,0,0,0,0
87,3,26,0,0,0,0,0,0,0,0
0,3,26,0,0,0,0,0,0,0,0
121,3,26,0,0,0,0,0,0,0,0
121,3,26,clash_this,1721,1297,366,591,582,831,0
197,3,27,match_tap,0,249,424,780,1170,1098,0
0,3,27,0,0,0,0,0,0,0,0
0,3,27,0,0,0,0,0,0,0,0
33,3,27,0,0,0,0,0,0,0,0
0,3,28,0,0,0,0,0,0,0,0
197,3,28,0,0,0,0,0,0,0,0
33,3,28,clash_tap,0,970,215,363,137,921,0
0,3,28,0,0,0,0,0,0,0,0
73,3,29,0,0,0,0,0,0,0,0
73,3,29,match_this,1042,568,180,1239,668,942,0
193,3,29,0,0,0,0,0,0,0,0
0,3,29,0,0,0,0,0,0,0,0
73,3,30,0,0,0,0,0,0,0,0
0,3,30,0,0,0,0,0,0,0,0
193,3,30,0,0,0,0,0,0,0,0
193,3,30,clash_this,1298,545,135,454,852,692,0
47,3,31,match_tap,1609,1325,271,1317,485,1363,0
47,3,31,0,0,0,0,0,0,0,0
0,3,31,0,0,0,0,0,0,0,0
67,3,31,0,0,0,0,0,0,0,0
0,3,32,0,0,0,0,0,0,0,0
47,3,32,0,0,0,0,0,0,0,0
67,3,32,clash_tap,272,0,134,722,357,1012,0
67,3,32,0,0,0,0,0,0,0,0
0,3,33,0,0,0,0,0,0,0,0
179,3,33,match_this,0,416,205,457,421,1025,0
23,3,33,0,0,0,0,0,0,0,0
0,3,33,0,0,0,0,0,0,0,0
179,3,34,0,0,0,0,0,0,0,0
0,3,34,0,0,0,0,0,0,0,0
0,3,34,0,0,0,0,0,0,0,0
23,3,34,clash_this,378,477,113,421,511,1047,0
127,3,35,match_tap,1334,589,282,480,412,1028,0
127,3,35,0,0,0,0,0,0,0,0
0,3,35,0,0,0,0,0,0,0,0
79,3,35,0,0,0,0,0,0,0,0
0,3,36,0,0,0,0,0,0,0,0
127,3,36,0,0,0,0,0,0,0,0
79,3,36,clash_tap,1210,639,318,501,402,412,0
79,3,36,0,0,0,0,0,0,0,0
0,3,37,0,0,0,0,0,0,0,0
103,3,37,match_this,819,818,274,777,584,919,0
163,3,37,0,0,0,0,0,0,0,0
0,3,37,0,0,0,0,0,0,0,0
103,3,38,0,0,0,0,0,0,0,0
0,3,38,0,0,0,0,0,0,0,0
0,3,38,0,0,0,0,0,0,0,0
163,3,38,clash_this,1222,733,261,678,462,1006,0
113,3,39,match_tap,1087,1478,212,1914,481,1432,0
0,3,39,0,0,0,0,0,0,0,0
0,3,39,0,0,0,0,0,0,0,0
137,3,39,0,0,0,0,0,0,0,0
0,3,40,0,0,0,0,0,0,0,0
113,3,40,0,0,0,0,0,0,0,0
137,3,40,clash_tap,720,217,178,748,572,1005,0
0,3,40,0,0,0,0,0,0,0,0
97,4,1,0,0,0,0,0,0,0,0
97,4,1,0,0,0,0,0,0,0,0
17,4,1,0,0,0,0,0,0,0,0
17,4,1,clash_this,490,195,125,271,172,1295,0
97,4,2,0,0,0,0,0,0,0,0
97,4,2,match_this,743,553,0,369,567,1082,0
17,4,2,0,0,0,0,0,0,0,0
17,4,2,0,0,0,0,0,0,0,0
119,4,3,0,0,0,0,0,0,0,0
119,4,3,0,0,0,0,0,0,0,0
187,4,3,clash_tap,538,597,0,722,479,208,0
187,4,3,0,0,0,0,0,0,0,0
119,4,4,match_tap,0,236,0,420,263,538,0
119,4,4,0,0,0,0,0,0,0,0
187,4,4,0,0,0,0,0,0,0,0
187,4,4,0,0,0,0,0,0,0,0
81,4,5,0,0,0,0,0,0,0,0
81,4,5,0,0,0,0,0,0,0,0
133,4,5,0,0,0,0,0,0,0,0
133,4,5,clash_this,442,444,0,401,234,601,0
81,4,6,0,0,0,0,0,0,0,0
81,4,6,match_this,0,897,0,274,359,1536,0
133,4,6,0,0,0,0,0,0,0,0
133,4,6,0,0,0,0,0,0,0,0
59,4,7,0,0,0,0,0,0,0,0
59,4,7,0,0,0,0,0,0,0,0
151,4,7,clash_tap,748,736,0,361,223,1359,0
151,4,7,0,0,0,0,0,0,0,0
59,4,8,match_tap,478,314,0,235,338,1957,0
0,4,8,0,0,0,0,0,0,0,0
151,4,8,0,0,0,0,0,0,0,0
151,4,8,0,0,0,0,0,0,0,0
61,4,9,0,0,0,0,0,0,0,0
61,4,9,0,0,0,0,0,0,0,0
183,4,9,0,0,0,0,0,0,0,0
183,4,9,clash_this,0,279,0,920,571,366,0
61,4,10,0,0,0,0,0,0,0,0
61,4,10,match_this,533,387,0,619,441,718,0
0,4,10,0,0,0,0,0,0,0,0
183,4,10,0,0,0,0,0,0,0,0
157,4,11,0,0,0,0,0,0,0,0
0,4,11,0,0,0,0,0,0,0,0
